calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
182,8.0,Cocktails,1.0,"{'@type': 'NutritionInformation', 'calories': '182 calories', 'fatContent': '1 grams fat', 'saturatedFatContent': '0.2 grams saturated fat', 'carbohydrateContent': '8 grams carbohydrates', 'sugarContent': '8 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '1 grams protein', 'sodiumContent': '0.02 milligram of sodium'}",1.0,0.1,0.1,bbcgoodfood,Mediterranean savoury G&T,https://www.bbcgoodfood.com/recipes/mediterranean-savoury-gt
39,9.0,"Cocktails, Drink",0.1,"{'@type': 'NutritionInformation', 'calories': '39 calories', 'fatContent': '0.1 grams fat', 'carbohydrateContent': '9 grams carbohydrates', 'sugarContent': '9 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '1 grams protein', 'sodiumContent': '0.01 milligram of sodium'}",1.0,0.1,0.1,bbcgoodfood,Fruit punch,https://www.bbcgoodfood.com/recipes/fruit-punch
330,21.0,Drink,8.0,"{'@type': 'NutritionInformation', 'calories': '330 calories', 'fatContent': '8 grams fat', 'saturatedFatContent': '5 grams saturated fat', 'carbohydrateContent': '21 grams carbohydrates', 'sugarContent': '20 grams sugar', 'proteinContent': '3 grams protein', 'sodiumContent': '0.4 milligram of sodium'}",3.0,0.1,0.1,bbcgoodfood,Salted caramel martini,https://www.bbcgoodfood.com/recipes/salted-caramel-martini
100,1.0,"Cocktails, Drink",0.1,"{'@type': 'NutritionInformation', 'calories': '100 calories', 'fatContent': '0.1 grams fat', 'carbohydrateContent': '1 grams carbohydrates', 'sugarContent': '0.2 grams sugar', 'proteinContent': '2 grams protein', 'sodiumContent': '0.1 milligram of sodium'}",2.0,0.1,0.1,bbcgoodfood,Turkish coffee sour,https://www.bbcgoodfood.com/recipes/turkish-coffee-sour
356,30.0,"Breakfast, Main course",16.0,"{'@type': 'NutritionInformation', 'calories': '356 calories', 'fatContent': '16 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '30 grams carbohydrates', 'sugarContent': '8 grams sugar', 'fiberContent': '4 grams fiber', 'proteinContent': '14 grams protein', 'sodiumContent': '0.4 milligram of sodium'}",14.0,0.1,0.1,bbcgoodfood,Red cabbage & potato hash,https://www.bbcgoodfood.com/recipes/red-cabbage-potato-hash
183,14.0,Drink,1.0,"{'@type': 'NutritionInformation', 'calories': '183 calories', 'fatContent': '1 grams fat', 'carbohydrateContent': '14 grams carbohydrates', 'sugarContent': '14 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '1 grams protein', 'sodiumContent': '0.1 milligram of sodium'}",1.0,0.1,0.1,bbcgoodfood,Easy mulled wine,https://www.bbcgoodfood.com/recipes/easy-mulled-wine
58,14.0,Drink,0.1,"{'@type': 'NutritionInformation', 'calories': '58 calories', 'fatContent': '0.1 grams fat', 'carbohydrateContent': '14 grams carbohydrates', 'sugarContent': '14 grams sugar', 'proteinContent': '0.3 grams protein'}",0.3,0.1,0.1,bbcgoodfood,Mulled pomegranate juice,https://www.bbcgoodfood.com/recipes/mulled-pomegranate-juice
680,78.0,"Afternoon tea, Dessert, Treat",37.0,"{'@type': 'NutritionInformation', 'calories': '680 calories', 'fatContent': '37 grams fat', 'saturatedFatContent': '8 grams saturated fat', 'carbohydrateContent': '78 grams carbohydrates', 'sugarContent': '61 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '8 grams protein', 'sodiumContent': '0.6 milligram of sodium'}",8.0,0.1,0.1,bbcgoodfood,Easy carrot cake,https://www.bbcgoodfood.com/recipes/carrot-cake
524,71.0,Treat,25.0,"{'@type': 'NutritionInformation', 'calories': '524 calories', 'fatContent': '25 grams fat', 'saturatedFatContent': '10 grams saturated fat', 'carbohydrateContent': '71 grams carbohydrates', 'sugarContent': '61 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '7 grams protein', 'sodiumContent': '0.5 milligram of sodium'}",7.0,0.1,0.1,bbcgoodfood,Battenberg cake,https://www.bbcgoodfood.com/recipes/battenberg-cake
688,38.0,"Afternoon tea, Dessert, Treat",57.0,"{'@type': 'NutritionInformation', 'calories': '688 calories', 'fatContent': '57 grams fat', 'saturatedFatContent': '35 grams saturated fat', 'carbohydrateContent': '38 grams carbohydrates', 'sugarContent': '5 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '5 grams protein', 'sodiumContent': '0.9 milligram of sodium'}",5.0,0.1,0.1,bbcgoodfood,Tea & biscuits cheesecake bars,https://www.bbcgoodfood.com/recipes/tea-biscuits-cheesecake-bars
309,42.0,"Afternoon tea, Dessert",14.0,"{'@type': 'NutritionInformation', 'calories': '309 calories', 'fatContent': '14 grams fat', 'saturatedFatContent': '9 grams saturated fat', 'carbohydrateContent': '42 grams carbohydrates', 'sugarContent': '32 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '3 grams protein', 'sodiumContent': '1 milligram of sodium'}",3.0,0.1,0.1,bbcgoodfood,Tottenham cake,https://www.bbcgoodfood.com/recipes/tottenham-cake
286,21.0,"Buffet, Lunch, Snack, Supper",18.0,"{'@type': 'NutritionInformation', 'calories': '286 calories', 'fatContent': '18 grams fat', 'saturatedFatContent': '7 grams saturated fat', 'carbohydrateContent': '21 grams carbohydrates', 'sugarContent': '2 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '8 grams protein', 'sodiumContent': '0.9 milligram of sodium'}",8.0,0.1,0.1,bbcgoodfood,Vegetarian sausage rolls,https://www.bbcgoodfood.com/recipes/vegetarian-sausage-rolls
445,67.0,Dessert,16.0,"{'@type': 'NutritionInformation', 'calories': '445 calories', 'fatContent': '16 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '67 grams carbohydrates', 'sugarContent': '30 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '1.15 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Vegan apple cake,https://www.bbcgoodfood.com/recipes/vegan-apple-cake
439,27.0,"Snack, Treat",31.0,"{'@type': 'NutritionInformation', 'calories': '439 calories', 'fatContent': '31 grams fat', 'saturatedFatContent': '12 grams saturated fat', 'carbohydrateContent': '27 grams carbohydrates', 'sugarContent': '4 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '15 grams protein', 'sodiumContent': '1.67 milligram of sodium'}",15.0,0.1,0.1,bbcgoodfood,Sausage rolls,https://www.bbcgoodfood.com/recipes/sausage-rolls
377,40.0,"Afternoon tea, Dessert",21.0,"{'@type': 'NutritionInformation', 'calories': '377 calories', 'fatContent': '21 grams fat', 'saturatedFatContent': '11 grams saturated fat', 'carbohydrateContent': '40 grams carbohydrates', 'sugarContent': '21 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.3 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Cherry loaf cake,https://www.bbcgoodfood.com/recipes/cherry-loaf-cake
